Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
February 28 2023,Miami-Dade,FL,Passenger,1,0,1,64,65,1.54
October 31 2023,Santa Barbara,CA,Passenger,1,0,1,59,60,1.67
August 31 2022,Saratoga,NY,Passenger,1,0,1,42,43,2.33
August 31 2020,Asotin,WA,Passenger,17,14,31,12352,12383,0.25
August 31 2021,Goochland,VA,Passenger,4,2,6,220,226,2.65
January 31 2023,Kittitas,WA,Passenger,311,94,405,29538,29943,1.35
March 31 2020,Douglas,WA,Passenger,71,40,111,28170,28281,0.39
July 31 2022,Richland,SC,Passenger,0,1,1,126,127,0.79
May 31 2020,Riverside,CA,Passenger,3,1,4,624,628,0.64
June 30 2019,Bucks,PA,Passenger,1,0,1,21,22,4.55
January 31 2023,Stafford,VA,Passenger,3,1,4,84,88,4.55
October 31 2021,Suffolk,MA,Passenger,0,2,2,29,31,6.45
September 30 2022,Boulder,CO,Passenger,2,0,2,42,44,4.55
February 28 2018,Okanogan,WA,Truck,0,0,0,16305,16305,0.00
September 30 2022,Okanogan,WA,Passenger,93,49,142,26295,26437,0.54
February 29 2020,Kitsap,WA,Truck,1,0,1,54387,54388,0.00
May 31 2022,Ferry,WA,Truck,0,0,0,3568,3568,0.00
January 31 2017,Volusia,FL,Passenger,0,1,1,51,52,1.92
April 30 2019,St. Mary's,MD,Passenger,1,0,1,212,213,0.47
May 31 2021,,,Passenger,3,2,5,332,337,1.48
June 30 2021,Harrison,MS,Passenger,2,0,2,53,55,3.64
September 30 2021,Stafford,VA,Passenger,2,1,3,99,102,2.94
March 31 2018,Dallas,TX,Passenger,0,1,1,193,194,0.52
August 31 2019,Middlesex,MA,Passenger,1,1,2,113,115,1.74
July 31 2022,Sarpy,NE,Passenger,1,0,1,59,60,1.67
September 30 2017,Essex,NJ,Passenger,1,0,1,15,16,6.25
April 30 2020,Denver,CO,Passenger,1,0,1,118,119,0.84
October 31 2020,Pierce,WA,Passenger,2660,1739,4399,554615,559014,0.79
May 31 2017,Bexar,TX,Passenger,1,0,1,978,979,0.10
March 31 2023,Honolulu,HI,Passenger,2,3,5,277,282,1.77
February 28 2019,Maui,HI,Passenger,2,0,2,50,52,3.85
November 30 2018,Montgomery,MD,Passenger,1,0,1,279,280,0.36
April 30 2021,Orange,FL,Passenger,1,0,1,114,115,0.87
July 31 2018,Kent,MI,Passenger,0,1,1,28,29,3.45
February 28 2022,Albemarle,VA,Passenger,2,0,2,20,22,9.09
March 31 2020,Kent,MI,Passenger,0,1,1,25,26,3.85
July 31 2022,Carroll,MD,Passenger,0,1,1,18,19,5.26
January 31 2021,Thurston,WA,Passenger,1350,796,2146,197322,199468,1.08
February 28 2021,Garfield,WA,Truck,0,0,0,1005,1005,0.00
December 31 2018,Skamania,WA,Truck,0,0,0,4008,4008,0.00
May 31 2017,San Juan,WA,Passenger,104,38,142,13498,13640,1.04
November 30 2022,Santa Clara,CA,Passenger,10,4,14,211,225,6.22
September 30 2020,Island,WA,Passenger,444,281,725,62835,63560,1.14
August 31 2020,Stevens,WA,Truck,0,0,0,18650,18650,0.00
June 30 2021,Lake,IL,Passenger,2,0,2,167,169,1.18
December 31 2022,Williamson,TX,Passenger,0,2,2,64,66,3.03
June 30 2023,Broward,FL,Passenger,1,0,1,64,65,1.54
April 30 2021,Frederick,MD,Passenger,1,1,2,72,74,2.70
April 30 2023,Champaign,IL,Passenger,1,0,1,12,13,7.69
July 31 2022,Pierce,WA,Passenger,5244,2334,7578,543475,551053,1.38
November 30 2017,Mason,WA,Passenger,63,72,135,44602,44737,0.30
May 31 2023,Klickitat,WA,Passenger,145,64,209,15180,15389,1.36
September 30 2019,Whitman,WA,Truck,0,0,0,8606,8606,0.00
February 28 2021,Honolulu,HI,Passenger,5,2,7,433,440,1.59
June 30 2019,San Joaquin,CA,Passenger,1,0,1,129,130,0.77
February 28 2019,Chelan,WA,Truck,0,0,0,22098,22098,0.00
April 30 2023,Skagit,WA,Passenger,1053,389,1442,89000,90442,1.59
June 30 2017,Carroll,NH,Passenger,0,1,1,1,2,50.00
April 30 2020,Guadalupe,TX,Passenger,1,0,1,68,69,1.45
August 31 2023,Madison,IL,Passenger,1,0,1,14,15,6.67
August 31 2018,Collier,FL,Passenger,1,0,1,20,21,4.76
August 31 2018,Lake,CA,Passenger,0,1,1,10,11,9.09
December 31 2020,Pierce,WA,Passenger,2825,1770,4595,555427,560022,0.82
February 28 2023,Stevens,WA,Passenger,98,58,156,29956,30112,0.52
November 30 2022,Duval,FL,Passenger,0,1,1,266,267,0.37
August 31 2018,Santa Clara,CA,Passenger,8,0,8,384,392,2.04
July 31 2019,Williamson,TX,Passenger,0,2,2,150,152,1.32
September 30 2021,Allegheny,PA,Passenger,1,1,2,71,73,2.74
March 31 2021,Suffolk,VA,Passenger,1,0,1,123,124,0.81
March 31 2020,King,WA,Truck,5,1,6,182402,182408,0.00
June 30 2019,Orange,CA,Passenger,6,1,7,551,558,1.25
December 31 2021,Portsmouth,VA,Passenger,0,1,1,84,85,1.18
February 28 2022,Richland,SC,Passenger,0,2,2,132,134,1.49
December 31 2022,Jefferson,NY,Passenger,2,1,3,195,198,1.52
February 29 2020,Charleston,SC,Passenger,1,0,1,110,111,0.90
October 31 2020,Bucks,PA,Passenger,1,0,1,21,22,4.55
October 31 2023,Atlantic,NJ,Passenger,1,0,1,7,8,12.50
September 30 2018,Clallam,WA,Passenger,129,122,251,50166,50417,0.50
January 31 2020,Richmond,GA,Passenger,0,1,1,91,92,1.09
January 31 2021,Sacramento,CA,Passenger,2,0,2,248,250,0.80
February 28 2019,New London,CT,Passenger,0,2,2,246,248,0.81
July 31 2018,Okanogan,WA,Passenger,9,20,29,26024,26053,0.11
November 30 2019,Owyhee,ID,Passenger,1,0,1,3,4,25.00
November 30 2019,Santa Cruz,CA,Passenger,1,0,1,38,39,2.56
March 31 2019,Mason,WA,Passenger,114,117,231,46704,46935,0.49
October 31 2021,Maricopa,AZ,Passenger,8,4,12,1171,1183,1.01
June 30 2023,Salt Lake,UT,Passenger,0,1,1,95,96,1.04
October 31 2018,Monterey,CA,Passenger,0,1,1,190,191,0.52
November 30 2022,Harford,MD,Passenger,1,1,2,42,44,4.55
December 31 2021,Lincoln,OR,Passenger,0,1,1,32,33,3.03
October 31 2020,Williams,ND,Passenger,0,1,1,11,12,8.33
August 31 2021,Williams,ND,Passenger,0,1,1,7,8,12.50
January 31 2018,Yakima,WA,Passenger,60,76,136,162506,162642,0.08
December 31 2022,Calvert,MD,Passenger,0,2,2,78,80,2.50
July 31 2021,Walla Walla,WA,Passenger,115,76,191,36561,36752,0.52
April 30 2018,Bexar,TX,Passenger,2,2,4,782,786,0.51
April 30 2019,Klickitat,WA,Truck,0,0,0,8221,8221,0.00
December 31 2021,Clark,NV,Passenger,7,2,9,581,590,1.53
March 31 2018,Northampton,PA,Passenger,0,1,1,63,64,1.56
November 30 2017,Franklin,MA,Passenger,0,1,1,4,5,20.00
September 30 2018,Kittitas,WA,Passenger,55,36,91,29200,29291,0.31
November 30 2019,Kittitas,WA,Passenger,89,46,135,30011,30146,0.45
August 31 2019,Lincoln,WA,Passenger,2,10,12,7786,7798,0.15
August 31 2022,Duval,FL,Passenger,0,2,2,277,279,0.72
December 31 2020,Morris,NJ,Passenger,1,0,1,16,17,5.88
March 31 2019,Cochise,AZ,Passenger,0,1,1,114,115,0.87
March 31 2018,Portsmouth,VA,Passenger,0,1,1,71,72,1.39
